,sa1,sa2,sa3,sa4,sa5,sa6,sa7,sa8,sa9,sa10,sa11,sa12,sa13,sa14,sa15,sa16,sa17,sa18,sa19,sa20,sa21,sa22,sa23,sa24,sa25,sa26,sa27,sa28,sa29,sa30,sa31,sa32,sa33,sa34,sa35,sa36,sa37,sa38,sa39,sa40,sa41,sa42,sa43,sa44,sa45,sa46,sa47,sa48,sa49,sa50,sa51,sa52,sa53,sa54,sa55,sa56,sa57,sa58,sa59,sa60,sa61,sa62,sa63,sa64,sa65,sa66,sa67,sa68,sa69,sa70,sa71,sa72,sa73,sa74,sa75,sa76,sa77,sa78,sa79,sa80,sa81,sa82,sa83,sa84,sa85,sa86,sa87,sa88,sa89,sa90,sa91,sa92,sa93,sa94,sa95,sa96,sa97,sa98,sa99,sa100,sa101,sa102,sa103,sa104,sa105,sa106,sa107,sa108
ASV_11,16,17,25,168,82,90,419,191,200,777,700,891,982,448,1227,1301,1889,532,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,94,35,26,66,0,59,44,58,61,79,488,300,594,329,232,2560,3421,2416,4271,2438,1682,1958,740,2390,2197,1183,1189,1165,1264,1739,1063,1065,1818,788,1456,2255,1588,622,2043,1977,144,106,106,66,161,152,250,620,1197,179,1368,1122,1269,1019,1221,1753,3226,1420,1621,1147,1812,1780,2029,2445,2691,538,1429,1976,2190,4241
ASV_12,167,168,161,441,324,558,283,172,418,651,267,840,633,409,727,2834,3029,3041,161,71,89,31,118,154,200,157,249,316,150,122,64,104,58,79,116,82,45,89,258,190,151,201,84,186,330,295,445,655,163,236,208,93,115,1309,986,970,1369,885,1693,1928,484,1882,1884,1018,1677,1329,2461,623,1936,2918,936,2191,1315,444,669,2147,396,705,42,64,58,54,124,68,90,250,262,77,735,910,759,487,777,643,598,258,158,371,985,320,244,293,768,267,389,901,1160,437
ASV_13,76,96,74,206,94,125,137,200,192,194,121,244,131,122,226,154,208,65,38,33,69,22,71,53,94,74,70,56,168,176,145,86,69,199,261,150,182,124,143,69,117,124,94,131,133,279,150,241,1096,565,712,756,915,2441,2076,3039,2606,3023,998,1258,234,1239,1273,1033,1176,416,771,931,605,1023,873,1230,816,1173,1239,694,1162,419,197,211,260,196,243,200,156,381,480,293,916,654,803,479,476,900,1345,901,924,908,700,725,1063,990,1098,392,738,848,966,1012
ASV_14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4497,5515,6706,3025,5778,1350,2839,2078,1272,2379,1290,1316,879,415,543,371,365,597,338,313,1122,905,676,1464,220,805,1088,1139,1148,1385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_15,55,65,36,48,65,182,62,33,15,57,68,36,73,37,74,329,207,608,15,11,0,0,29,115,57,57,172,105,112,71,62,116,89,135,170,134,98,104,118,132,78,161,146,34,166,81,218,216,467,573,790,322,450,1237,1411,1133,2124,719,1870,2226,664,1841,1638,841,1429,1283,2193,382,1785,1970,1225,2625,1350,575,1327,2928,412,819,30,31,46,41,45,62,65,172,61,33,390,584,422,287,450,272,292,44,50,73,383,55,60,22,313,48,103,367,822,371
ASV_16,7,15,11,26,11,10,13,8,32,79,14,49,11,32,9,379,724,67,37,18,22,13,52,55,48,66,69,67,49,41,37,24,16,24,30,40,20,33,82,51,58,95,18,949,215,1043,167,1245,226,123,145,103,127,691,1078,826,486,1704,772,974,1279,379,510,276,634,199,268,831,313,102,334,144,278,2531,3436,360,3677,4197,42,44,65,65,79,129,97,200,321,106,426,255,272,224,303,218,314,235,195,350,222,361,640,511,309,111,275,1460,973,268
ASV_17,0,21,27,65,0,20,0,11,26,59,16,32,11,14,0,104,362,89,154,110,125,29,126,29,33,45,84,81,51,39,19,20,15,19,29,24,8,16,28,0,0,0,0,155,19,125,12,238,451,190,339,179,238,1570,3087,2439,970,3110,1583,1692,3367,1082,1312,538,1792,568,591,1588,484,279,266,558,214,2835,1725,396,2619,1498,29,25,17,33,41,29,16,29,104,20,190,149,89,53,90,94,60,107,17,121,53,21,35,66,44,27,25,195,57,41
ASV_18,210,213,95,105,232,231,52,35,29,58,68,56,68,46,128,343,496,284,353,148,208,61,171,239,450,274,370,445,273,124,102,147,103,106,149,102,65,116,124,130,72,143,98,67,175,86,405,234,774,1144,1002,412,614,1983,2790,775,3479,1011,743,622,506,679,896,336,671,558,896,708,257,522,306,721,302,624,257,746,504,533,91,105,73,119,229,131,139,298,255,176,447,406,309,313,410,185,206,152,107,243,260,316,171,211,209,104,197,714,634,335
ASV_19,72,78,35,16,46,63,33,0,10,16,19,0,25,15,19,46,125,280,42,15,34,0,82,153,146,169,185,187,173,138,79,137,48,114,188,72,92,102,132,148,138,165,136,21,157,23,190,94,477,529,714,141,286,1339,1231,692,2939,834,1049,1686,471,1601,1615,615,1004,1010,1807,283,1070,1232,656,2599,840,204,339,1191,91,134,51,34,25,34,55,18,34,89,33,17,154,310,262,168,266,108,176,15,6,35,295,11,0,5,122,19,39,67,224,189
ASV_20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,113,151,147,191,306,740,418,232,213,444,382,94,1002,479,1548,360,947,663,2014,1327,452,725,61,663,1620,1156,431,1739,1102,26,13,20,29,50,43,81,81,139,37,568,391,510,460,553,1032,443,354,246,705,1555,397,315,872,600,130,93,581,1026,815
